"Beach ID
(Def.)","Beach Name
(Def.)","Station
ID
(Def.)","Station Name
(Def.)","County
Name
(Def.)","Identifier
(Def.)","Start
Date
(Def.)","Start
Time
(Def.)","Zone
Code
(Def.)","Activity
Type
Code
(Def.)","Characteristic
Name
(Def.)","Result Value
Text
(Def.)","Result
Value
(Def.)","Result
Measure
Unit","Result Comment
(Def.)","Activity
Depth
Value
(Def.)","Activity
Depth
Unit
Code
(Def.)","Result
Analytical
Method
Identifier
Context
(Def.)","Result
Analytical
Method
Identifier
(Def.)","Result
Analytical
Method
Name
(Def.)","Sample Collection
Method Identifier
(Def.)","Sample Collection
Method Name
(Def.)","Field Gear
(Def.)","Analysis
Date
Time
(Def.)","Detection
Quantitation
Limit
(Def.)",Latitude,Longitude
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816891,31-Dec-22,10:00:00 AM,PST,Sample-Routine,Total Coliform,-,7400,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,37.8066,-122.4489
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816890,31-Dec-22,10:00:00 AM,PST,Sample-Routine,Fecal Coliform,-,600,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816889,31-Dec-22,10:00:00 AM,PST,Sample-Routine,Enterococcus,-,1198,MPN/100mL,-,-,-,CABEACH_WQX,3,Enterolert,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2816888,31-Dec-22,9:35:00 AM,PST,Sample-Routine,Total Coliform,-,9000,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2816887,31-Dec-22,9:35:00 AM,PST,Sample-Routine,Fecal Coliform,-,600,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2816886,31-Dec-22,9:35:00 AM,PST,Sample-Routine,Enterococcus,-,2282,MPN/100mL,-,-,-,CABEACH_WQX,3,Enterolert,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816834,28-Dec-22,10:35:00 AM,PST,Sample-Routine,Total Coliform,-,240,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816833,28-Dec-22,10:35:00 AM,PST,Sample-Routine,Fecal Coliform,-,45,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816832,28-Dec-22,10:35:00 AM,PST,Sample-Routine,Enterococcus,-,10,MPN/100mL,-,-,-,CABEACH_WQX,3,Enterolert,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816780,27-Dec-22,8:17:00 AM,PST,Sample-Routine,Total Coliform,-,4600,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816779,27-Dec-22,8:17:00 AM,PST,Sample-Routine,Fecal Coliform,-,600,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816778,27-Dec-22,8:17:00 AM,PST,Sample-Routine,Enterococcus,-,624,MPN/100mL,-,-,-,CABEACH_WQX,3,Enterolert,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2816777,27-Dec-22,8:24:00 AM,PST,Sample-Routine,Total Coliform,-,320,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2816776,27-Dec-22,8:24:00 AM,PST,Sample-Routine,Fecal Coliform,-,35,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2816775,27-Dec-22,8:24:00 AM,PST,Sample-Routine,Enterococcus,-,20,MPN/100mL,-,-,-,CABEACH_WQX,3,Enterolert,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816729,19-Dec-22,10:00:00 AM,PST,Sample-Routine,Total Coliform,-,460,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816728,19-Dec-22,10:00:00 AM,PST,Sample-Routine,Fecal Coliform,-,15,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816727,19-Dec-22,10:00:00 AM,PST,Sample-Routine,Enterococcus,-,10,MPN/100mL,-,-,-,CABEACH_WQX,3,Enterolert,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2816726,19-Dec-22,9:45:00 AM,PST,Sample-Routine,Total Coliform,-,40,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2816725,19-Dec-22,9:45:00 AM,PST,Sample-Routine,Fecal Coliform,-,40,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2816724,19-Dec-22,9:45:00 AM,PST,Sample-Routine,Enterococcus,-,10,MPN/100mL,-,-,-,CABEACH_WQX,3,Enterolert,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816675,12-Dec-22,7:56:00 AM,PST,Sample-Routine,Total Coliform,-,350,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816674,12-Dec-22,7:56:00 AM,PST,Sample-Routine,Fecal Coliform,-,20,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816673,12-Dec-22,7:56:00 AM,PST,Sample-Routine,Enterococcus,-,10,MPN/100mL,-,-,-,CABEACH_WQX,3,Enterolert,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2816672,12-Dec-22,8:07:00 AM,PST,Sample-Routine,Total Coliform,-,30,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2816671,12-Dec-22,8:07:00 AM,PST,Sample-Routine,Fecal Coliform,-,5,cfu/100mL,-,-,-,CABEACH_WQX,13,MF (APHA 9222D),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.4_SL,BAY#202.4_SL,SAN FRANCISCO,2816670,12-Dec-22,8:07:00 AM,PST,Sample-Routine,Enterococcus,-,10,MPN/100mL,-,-,-,CABEACH_WQX,3,Enterolert,Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
CA253340,Crissy Field,BAY#202.5_SL,BAY#202.5_SL,SAN FRANCISCO,2816604,05-Dec-22,9:45:00 AM,PST,Sample-Routine,Total Coliform,-,260,cfu/100mL,-,-,-,CABEACH_WQX,12,MF (APHA 9222B),Water_Grab,Water_Grab,Miscellaneous (Other),-,-,,
